Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.19260597229004,24.659508126434403,23.754469685489944,24.648443422251393,212818400
2015-01-05,23.511062622070312,24.042136374239757,23.325187737341313,23.962475227002493,257142000
2015-01-06,23.513275146484375,23.772173022582894,23.152586716885562,23.575233439406734,263188400
2015-01-07,23.84297752380371,23.942553088747736,23.610632287952324,23.721272554884127,160423600
2015-01-08,24.75908088684082,24.816614303203295,24.05319538405384,24.170475495010283,237458000
2015-01-09,24.785634994506836,25.060022405088077,24.387329327343235,24.93167928030907,214798000
2015-01-12,24.174903869628906,24.922831637875944,24.075328281845096,24.916193490455274,198603200
2015-01-13,24.389549255371094,24.960453637883806,24.099672194711648,24.65729859254091,268367600
2015-01-14,24.296600341796875,24.449282743613015,24.008935007427194,24.128426683785232,195826400
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
2015-01-20,24.057619094848633,24.112939226436037,23.566376056234642,23.862891151189643,199599600
2015-01-21,24.241281509399414,24.575413877251222,23.958041027221938,24.108511847532693,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.000286102294922,25.17067144308528,24.679428178649527,24.8498152076771,185859200
2015-01-26,25.02683448791504,25.305648505097142,24.960451323601063,25.168453931002503,222460000
2015-01-27,24.150558471679688,24.889636367580913,24.12621747674591,24.876358386921034,382274800
2015-01-28,25.515859603881836,26.13765909552136,25.515859603881836,26.02923041081558,585908400
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
2015-02-02,26.250513076782227,26.370004785647765,25.68624864341562,26.122171630877833,250956400
2015-02-03,26.25494384765625,26.352306164841792,26.02481181826284,26.22175141960428,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.645132064819336,26.70955688169325,26.4918453731228,26.66290308386443,168984800
2015-02-06,26.420761108398438,26.714004163225805,26.314126499870483,26.662908024891667,174826400
2015-02-09,26.59626007080078,26.62291744894482,26.309681391456404,26.336340464499866,155559200
2015-02-10,27.10721206665039,27.13609315192371,26.694007464418103,26.696227782593457,248034000
2015-02-11,27.742570877075195,27.751457234046466,27.213845349029228,27.273826139961198,294247200
2015-02-12,28.093576431274414,28.320174313577628,27.895859634991865,28.004714549879026,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.39792823791504,28.631190468113697,28.195767412422946,28.32239504441379,252609600
2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
2015-02-19,28.535663604736328,28.664513254672688,28.50900622536984,28.54232794957795,149449600
2015-02-20,28.768924713134766,28.768924713134766,28.446802295850947,28.573428232665083,195793600
2015-02-23,29.546470642089844,29.546470642089844,28.804477380870498,28.884452925719273,283896400
2015-02-24,29.362077713012695,29.679759521946426,29.139923834524474,29.5331371485924,276912400
2015-02-25,28.61119270324707,29.235447865976322,28.469014375568225,29.226559813734614,298846800
2015-02-26,28.973304748535156,29.073273303207596,28.126899121283763,28.611192887820746,365150000
2015-02-27,28.537891387939453,29.00663625092877,28.489017258922594,28.880006901257964,248059200
2015-03-02,28.67784309387207,28.942206749183107,28.502343023009654,28.71338852765152,192386800
2015-03-03,28.73781967163086,28.773365098090387,28.455683357530823,28.648959495280483,151265200
2015-03-04,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
2015-03-05,28.082469940185547,28.602309153184912,27.93806959383036,28.564543404185695,226068400
2015-03-06,28.124677658081055,28.740043089670174,28.049146161056143,28.524553579488252,291368400
2015-03-09,28.244646072387695,28.784481799889047,27.782565564049722,28.42681219847674,354114000
2015-03-10,27.660375595092773,28.262412309033678,27.502646569217422,28.08246823773491,275426400
2015-03-11,27.156078338623047,27.718127146279073,27.127198956593293,27.713684816312526,275756000
2015-03-12,27.647050857543945,27.747021124712568,27.020576957239324,27.17164166982553,193450800
2015-03-13,27.455997467041016,27.85809714605445,27.23162326651431,27.635943264020362,207309200
2015-03-16,27.75812339782715,27.75812339782715,27.296044669322946,27.520418841684812,143497200
2015-03-17,28.222427368164062,28.284630179522154,27.91363362970817,27.969172096263538,204092400
2015-03-18,28.54010581970215,28.69339252092788,28.073583066505737,28.213539383994842,261083600
2015-03-19,28.324621200561523,28.713390511157467,28.30240615036455,28.60231356527291,183238000
2015-03-20,27.969173431396484,28.524556428562374,27.804780037116988,28.491234702958103,274780400
2015-03-23,28.260194778442383,28.40237312558268,28.106908059378792,28.240201742859963,150838800
2015-03-24,28.14468002319336,28.444585774451372,28.115798929518245,28.264643340636482,131369200
2015-03-25,27.40934944152832,28.173559452025806,27.40934944152832,28.111356626966685,206620800
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600
2015-03-27,27.380462646484375,27.70258505848325,27.304931149287167,27.67370566747833,158184800
2015-03-30,28.073585510253906,28.080249855252642,27.54708022165996,27.55818859325754,188398800
2015-03-31,27.642601013183594,28.10023735860415,27.627050312947922,28.01137548801493,168362400
2015-04-01,27.60262107849121,27.79589557467753,27.347143763734493,27.729248729123714,162485600
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262466,27.77589576687005,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.993606567382812,28.462349622438023,27.98694222319662,28.3557167256603,140049200
2015-04-08,27.902523040771484,28.080246797583147,27.76256672633937,27.95806150291271,149316800
2015-04-09,28.11578941345215,28.120233439390283,27.693698473890716,27.958060390634056,129936000
2015-04-10,28.235750198364258,28.26018725416947,27.826987982893712,27.980272966245597,160752000
2015-04-13,28.180221557617188,28.56232822738355,28.126905096791532,28.517894736045996,145460400
2015-04-14,28.058034896850586,28.27796675701111,27.971395021790396,28.213541930317717,102098400
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600
2015-04-16,28.029155731201172,28.235758915493303,28.01582704024673,28.053592794550752,113476000
2015-04-17,27.713693618774414,28.022487343944757,27.64926879695406,27.891417382065,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.57343292236328,28.628971396175867,28.06247998022732,28.211322683269117,150618000
2015-04-23,28.806692123413086,28.973307527112027,28.46679697105117,28.50234240405872,183083600
2015-04-24,28.94220542907715,29.019960638198242,28.70894319151285,28.9888592325096,178103600
2015-04-27,29.46870994567871,29.575346245548285,29.135479135634252,29.393178442287084,387816800
2015-04-28,29.004405975341797,29.8885773449825,28.784475834361594,29.87080802009011,475696000
2015-04-29,28.577878952026367,29.23323231097932,28.50234743590019,28.915553845613523,253544400
2015-04-30,27.802553176879883,28.5778695972683,27.675925556960287,28.5778695972683,332781600
2015-05-01,28.646738052368164,28.90888135598468,27.835877862217878,28.0135999238689,234050400
2015-05-04,28.591205596923828,29.006635685468652,28.493457340795633,28.768929390811504,203953200
2015-05-05,27.94696044921875,28.535666910420105,27.942516422209852,28.46902006448425,197085600
2015-05-06,27.771455764770508,28.1580030240195,27.40490154027082,28.115793246349376,288564000
2015-05-07,27.94322967529297,28.126156702399538,27.66660698885533,27.833918356403263,175763600
2015-05-08,28.469703674316406,28.469703674316406,28.132849635444217,28.26000621009435,222201600
2015-05-11,28.17969512939453,28.456316106647098,28.025768130626794,28.41839260613247,168143200
2015-05-12,28.079313278198242,28.30462472292589,27.845076653188137,28.01908022514789,192640000
2015-05-13,28.110538482666016,28.373775078379587,28.079307166393143,28.14176979893889,138776800
2015-05-14,28.766399383544922,28.766399383544922,28.36708443215777,28.422854885946716,180814000
2015-05-15,28.726245880126953,28.886865057060014,28.60132061005864,28.79317110450878,152832000
2015-05-18,29.043025970458984,29.161259076095174,28.63478578527864,28.639248375290993,203531600
2015-05-19,29.01624870300293,29.196944399824076,28.920321767728332,29.154558317071896,178532800
2015-05-20,29.01401710510254,29.219251943727052,28.853397943751535,29.000632742316288,145819600
2015-05-21,29.310720443725586,29.364261306407442,28.96271334618968,29.016254208871537,158921600
2015-05-22,29.567256927490234,29.663183860690328,29.31294384043469,29.357562918550684,182384000
2015-05-26,28.915863037109375,29.649804096047635,28.804322132440436,29.580649279786215,282790400
2015-05-27,29.455718994140625,29.504797261823935,29.01178839640263,29.076480619826217,183332800
2015-05-28,29.397724151611328,29.43564765535413,29.246030136640115,29.41557110701242,122933200
2015-05-29,29.063100814819336,29.324106149911614,28.978328629351232,29.275027874530984,203538000
2015-06-01,29.12110137939453,29.310722301615094,29.011793458266705,29.06310132744831,128451200
2015-06-02,28.991714477539062,29.147871068876178,28.848942250608214,28.96940493422302,134670400
2015-06-03,29.027408599853516,29.21033734676542,28.97833032160685,29.147874702443996,123934000
2015-06-04,28.85786247253418,29.13002254734294,28.75747634093119,28.906940742021543,153800400
2015-06-05,28.699480056762695,28.9314870984254,28.634787814813112,28.88910100020092,142507200
2015-06-08,28.509849548339844,28.824395646222694,28.293459969282072,28.75523744144502,210699200
2015-06-09,28.425079345703125,28.572314134068442,28.02353317212102,28.264460195478733,224301600
2015-06-10,28.750782012939453,28.85339772951078,28.521006340947945,28.53662199807562,156349200
2015-06-11,28.68609619140625,29.04079553965776,28.661557050108144,28.81771367475103,141563600
